iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
KGZ,Kyrgyz Republic,Lower middle income,2023,0.4008709441403209,0.3721663153837511,0.1831206396650211,0.1662127496471253,0.19022504326194994,0.16965138611448663,0.027525261213349826,0.03630217962213903,0.9999999999999998,1.0000000000000002,57,72,2.870462875656976,1.6907890017895806,2.0573657147463313,-0.8776918408789205,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
KHM,Cambodia,Lower middle income,2023,0.3221200047695395,0.2823674904213005,0.16633730768075994,0.12682794045592063,0.1417642175579725,0.1376501396363817,0.014018479530807029,0.017889410328998163,1,1.0000000000000004,50,62,3.975251434823901,3.9509367224839305,0.41140779215907974,-0.38709307981911345,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
KOR,"Korea, Rep.",High income,2019,0.6200894390101541,0.6625596390652491,0.2801891535850646,0.3079735889321384,0.31286711878150314,0.31715197194550476,0.026877896657595914,0.03724346523444284,0.9999999999999999,1.0000000000000004,66,74,-4.247020005509494,-2.778443534707381,-0.4284853164001623,-1.0365568576846922,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
LKA,Sri Lanka,Lower middle income,2024,0.463752346045237,0.4209456447234085,0.2331527266510441,0.19440304112698603,0.20197703992279886,0.1901725496646149,0.028622579471394127,0.03637005393180764,0.9999999999999996,1,66,80,4.280670132182851,3.874968552405808,1.1804490258183975,-0.774747446041351,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
MDG,Madagascar,Low income,2022,0.10636524270621125,0.09481681473623865,0.07010634463221961,0.05712223980259841,0.03323013843238259,0.034332748941930426,0.0030287596416090396,0.0033618259917098103,0.9999999999999992,1.0000000000000004,43,64,1.1548427969972601,1.2984104829621201,-0.11026105095478383,-0.03330663501007708,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
MEX,Mexico,Upper middle income,2024,0.567091771015704,0.5604693986191088,0.26484256380299875,0.2570206267856471,0.2813157090049024,0.27213972946605675,0.020933498207803058,0.03130904236740536,0.9999999999999999,0.9999999999999999,86,87,0.6622372396595133,0.7821937017351677,0.9175979538845636,-1.0375544159602301,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
MMR,Myanmar,Lower middle income,2020,0.2584971196688175,0.21265144371753367,0.16727019276140642,0.12977482981819832,0.09020571583055577,0.08071007163166853,0.001021211076855329,0.002166542267666798,0.9999999999999996,0.9999999999999998,46,59,4.584567595128383,3.74953629432081,0.9495644198887238,-0.11453311908114691,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
MWI,Malawi,Low income,2024,0.08963554490017556,0.0956547304896936,0.044948238903386506,0.04596399832084547,0.039185153599274256,0.04466300616815075,0.005502152397514817,0.005027726000697404,0.9999999999999997,1.0000000000000002,40,60,-0.6019185589518041,-0.10157594174589613,-0.5477852568876493,0.04744263968174131,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
NGA,Nigeria,Lower middle income,2024,0.32129947563802724,0.29138776658401466,0.18168023430862826,0.15372996313606954,0.13440449204728105,0.1268903370277297,0.0052147492821179075,0.010767466420215435,0.9999999999999999,1.0000000000000004,50,75,2.9911709054012583,2.795027117255872,0.7514155019551355,-0.5552717138097528,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
NLD,Netherlands,High income,2024,0.5398624686587971,0.6454389397743839,0.22428500617912203,0.27671550578053117,0.2824794924477058,0.3261013317592701,0.03306437984994504,0.04241451387366408,0.9999999999999999,1.0000000000000002,73,81,-10.557647111558687,-5.2430499601409135,-4.3621839311564266,-0.9350134023719037,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
