iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
BRA,Brazil,Upper middle income,2024,0.5519505870265884,0.547513039645042,0.2899867229274135,0.26811953976149944,0.23482123000586066,0.25223167298642596,0.02714263409331447,0.027161826897116447,1.0000000000000002,1.0000000000000002,42,42,0.4437547381546336,2.1867183165914073,-1.7410442980565293,-0.0019192803801977576,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
CHE,Switzerland,High income,2024,0.5822634684517136,0.596835801147675,0.261504484123337,0.22603126599466286,0.2754239845668498,0.3180054256672187,0.045334999761527085,0.05279910948579368,0.9999999999999997,0.9999999999999998,37,41,-1.4572332695961365,3.5473218128674127,-4.258144110036888,-0.7464109724266594,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
CHL,Chile,High income,2022,0.5466396856145708,0.5418671083726297,0.2638221219254992,0.24174858020327447,0.2533649686609386,0.2691645204724992,0.02945259502813265,0.030954007696856096,0.9998069458302148,0.9992669760905843,40,42,0.4772577241941023,2.2073541722224728,-1.579955181156062,-0.15014126687234453,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
CIV,Cote d'Ivoire,Lower middle income,2019,0.28696419393812805,0.2301908178215569,0.1436242218540344,0.10067638331376837,0.1371164471927522,0.12010309472457281,0.006223524891341548,0.009411339783215665,1,0.9988986638398509,17,35,5.677337611657116,4.294783854026603,1.7013352468179392,-0.3187814891874118,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
COD,"Congo, Dem. Rep.",Low income,2020,0.06384358602881117,0.06450960884682017,0.03251355970717417,0.03235383818756545,0.03071443020353603,0.030755975267549744,6.155961181009764e-4,0.0013997953917049874,0.6588422616856049,0.6891553391490798,29,35,-0.06660228180089961,0.015972151960871872,-0.004154506401371494,-0.0784199273604011,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
COL,Colombia,Upper middle income,2024,0.5137610039655806,0.4856777144643363,0.2507576220000893,0.21977326183202117,0.24313574335539262,0.24293970679464713,0.019867638610098583,0.02296474583766789,0.9999999999999998,1,41,42,2.808328950124428,3.0984360168068106,0.019603656074548836,-0.3097107227569309,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
CRI,Costa Rica,High income,2024,0.5974068065406242,0.5781449264375617,0.28487548402526536,0.25084102830032323,0.2530573485800957,0.26489733592799675,0.05947397393526308,0.062406562209241664,1,1,39,39,1.9261880103062512,3.4034455724942125,-1.1839987347901038,-0.29325882739785825,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
CZE,Czechia,High income,2024,0.5855977655529391,0.571497249885349,0.26943612566535763,0.24421165403663905,0.28192709252277004,0.2879326515423863,0.034234547364811366,0.039352944306323745,0.9999999999999998,0.9988408891814797,37,39,1.4100515667590074,2.5224471628718574,-0.6005559019616247,-0.511839694151238,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
DEU,Germany,High income,2024,0.6129288766000095,0.621534821072489,0.2909805237781933,0.2568030386628029,0.2796294131868425,0.3158856685948594,0.04231893963497399,0.04884611381482679,1.0000000000000004,1,39,41,-0.8605944472479532,3.4177485115390374,-3.6256255408016913,-0.6527174179852803,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
DNK,Denmark,High income,2024,0.5927550706784952,0.6234821623613147,0.260480014387418,0.2619427078318999,0.28445750263019,0.31559016455914446,0.047817553660887066,0.04594928997027055,1.0000000000000002,0.9999999999999999,38,41,-3.0727091682819507,-0.1462693444481855,-3.1132661928954475,0.18682636906165173,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
DOM,Dominican Republic,Upper middle income,2024,0.5005985504320543,0.4334090648746714,0.2521511481110036,0.19330395889345767,0.21418278250136466,0.20506376937268608,0.03426461981968615,0.035041336608527734,0.9999999999999998,1.0000000000000002,41,42,6.718948555738286,5.884718921754592,0.9119013128678577,-0.0776716788841586,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
